target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
icrs,2025-12-12 01:10:52.479,2025-12-12 01:11:27.479,0.5833333333333179,52.25806451612903 deg,-41.11111111111111 deg,{}
TransitionBlock,2025-12-12 01:11:27.479,2025-12-12 01:11:30.478,0.0499770663320831,,,[]
icrs,2025-12-12 01:11:30.478,2025-12-12 01:12:05.478,0.5833333333333179,53.4375 deg,-38.888888888888886 deg,{}
TransitionBlock,2025-12-12 01:12:05.478,2025-12-12 01:12:11.489,0.10017760838865186,,,[]
icrs,2025-12-12 01:12:11.489,2025-12-12 01:12:46.489,0.5833333333333179,50.99999999999999 deg,-43.333333333333336 deg,{}
TransitionBlock,2025-12-12 01:12:46.489,2025-12-12 01:12:55.642,0.15256161533811152,,,[]
icrs,2025-12-12 01:12:55.642,2025-12-12 01:13:30.642,0.5833333333333179,54.961832061068705 deg,-36.66666666666667 deg,{}
TransitionBlock,2025-12-12 01:13:30.642,2025-12-12 01:13:42.659,0.20027914493967458,,,[]
icrs,2025-12-12 01:13:42.659,2025-12-12 01:14:17.659,0.5833333333333179,50.08695652173913 deg,-45.55555555555556 deg,{}
TransitionBlock,2025-12-12 01:14:17.659,2025-12-12 01:14:32.647,0.24980709211565255,,,[]
icrs,2025-12-12 01:14:32.647,2025-12-12 01:15:07.647,0.5833333333333179,56.0 deg,-34.44444444444445 deg,{}
TransitionBlock,2025-12-12 01:15:07.647,2025-12-12 01:15:13.206,0.09264473573308507,,,[]
icrs,2025-12-12 01:15:13.206,2025-12-12 01:15:48.206,0.5833333333333179,56.17021276595744 deg,-30.000000000000004 deg,{}
TransitionBlock,2025-12-12 01:15:48.206,2025-12-12 01:16:02.133,0.23211614311057005,,,[]
icrs,2025-12-12 01:16:02.133,2025-12-12 01:16:37.133,0.5833333333333179,55.16129032258064 deg,-41.11111111111111 deg,{}
TransitionBlock,2025-12-12 01:16:37.133,2025-12-12 01:16:40.112,0.049642554281383866,,,[]
icrs,2025-12-12 01:16:40.112,2025-12-12 01:17:15.112,0.5833333333333179,54.0 deg,-43.333333333333336 deg,{}
TransitionBlock,2025-12-12 01:17:15.112,2025-12-12 01:17:29.396,0.2380726187931792,,,[]
icrs,2025-12-12 01:17:29.396,2025-12-12 01:18:04.396,0.5833333333333179,57.39130434782608 deg,-32.22222222222223 deg,{}
TransitionBlock,2025-12-12 01:18:04.396,2025-12-12 01:18:09.953,0.09261682859520448,,,[]
icrs,2025-12-12 01:18:09.953,2025-12-12 01:18:44.953,0.5833333333333179,57.5 deg,-27.777777777777786 deg,{}
TransitionBlock,2025-12-12 01:18:44.953,2025-12-12 01:18:56.067,0.18522881182278184,,,[]
icrs,2025-12-12 01:18:56.067,2025-12-12 01:19:31.067,0.5833333333333179,57.709923664122144 deg,-36.66666666666667 deg,{}
TransitionBlock,2025-12-12 01:19:31.067,2025-12-12 01:19:42.952,0.19807878973491455,,,[]
icrs,2025-12-12 01:19:42.952,2025-12-12 01:20:17.952,0.5833333333333179,53.21739130434783 deg,-45.55555555555556 deg,{}
TransitionBlock,2025-12-12 01:20:17.952,2025-12-12 01:20:32.780,0.24713348412129577,,,[]
icrs,2025-12-12 01:20:32.780,2025-12-12 01:21:07.780,0.5833333333333179,58.666666666666664 deg,-34.44444444444445 deg,{}
TransitionBlock,2025-12-12 01:21:07.780,2025-12-12 01:21:13.336,0.09260126540686642,,,[]
icrs,2025-12-12 01:21:13.336,2025-12-12 01:21:48.336,0.5833333333333179,58.72340425531915 deg,-30.000000000000004 deg,{}
TransitionBlock,2025-12-12 01:21:48.336,2025-12-12 01:22:11.508,0.3862114232515168,,,[]
icrs,2025-12-12 01:22:11.508,2025-12-12 01:22:46.508,0.5833333333333179,51.891891891891895 deg,-47.77777777777778 deg,{}
TransitionBlock,2025-12-12 01:22:46.508,2025-12-12 01:23:15.103,0.4765844355729776,,,[]
icrs,2025-12-12 01:23:15.103,2025-12-12 01:23:50.103,0.5833333333333179,58.77551020408163 deg,-25.55555555555556 deg,{}
TransitionBlock,2025-12-12 01:23:50.103,2025-12-12 01:24:09.562,0.3243184091090434,,,[]
icrs,2025-12-12 01:24:09.562,2025-12-12 01:24:44.562,0.5833333333333179,58.06451612903226 deg,-41.11111111111111 deg,{}
TransitionBlock,2025-12-12 01:24:44.562,2025-12-12 01:24:47.500,0.04895995482954163,,,[]
icrs,2025-12-12 01:24:47.500,2025-12-12 01:25:22.500,0.5833333333333179,59.0625 deg,-38.888888888888886 deg,{}
TransitionBlock,2025-12-12 01:25:22.500,2025-12-12 01:25:28.385,0.09808336729850708,,,[]
icrs,2025-12-12 01:25:28.385,2025-12-12 01:26:03.385,0.5833333333333179,57.0 deg,-43.333333333333336 deg,{}
TransitionBlock,2025-12-12 01:26:03.385,2025-12-12 01:26:12.350,0.14941939919722813,,,[]
icrs,2025-12-12 01:26:12.350,2025-12-12 01:26:47.350,0.5833333333333179,60.45801526717558 deg,-36.66666666666667 deg,{}
TransitionBlock,2025-12-12 01:26:47.350,2025-12-12 01:26:59.112,0.19603610145255246,,,[]
icrs,2025-12-12 01:26:59.112,2025-12-12 01:27:34.112,0.5833333333333179,56.34782608695652 deg,-45.55555555555556 deg,{}
TransitionBlock,2025-12-12 01:27:34.112,2025-12-12 01:27:41.283,0.11951410090574655,,,[]
