target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,block_number
10_10,2026-04-24 23:34:52.311,2026-04-24 23:36:32.311,1.6666666666665542,56.25 deg,-66.62337662337663 deg,{},0
12_10,2026-04-24 23:36:32.311,2026-04-24 23:38:12.311,1.666666666666714,67.5 deg,-66.62337662337663 deg,{},0
14_10,2026-04-24 23:38:12.311,2026-04-24 23:39:52.311,1.666666666666714,78.75 deg,-66.62337662337663 deg,{},0
16_10,2026-04-24 23:39:52.311,2026-04-24 23:41:32.311,1.666666666666714,90.0 deg,-66.62337662337663 deg,{},0
18_10,2026-04-24 23:41:32.311,2026-04-24 23:43:12.311,1.666666666666714,101.25 deg,-66.62337662337663 deg,{},0
20_10,2026-04-24 23:43:12.311,2026-04-24 23:44:52.311,1.666666666666714,112.5 deg,-66.62337662337663 deg,{},0
22_10,2026-04-24 23:44:52.311,2026-04-24 23:46:32.311,1.666666666666714,123.75 deg,-66.62337662337663 deg,{},0
24_10,2026-04-24 23:46:32.311,2026-04-24 23:48:12.311,1.666666666666714,135.0 deg,-66.62337662337663 deg,{},0
26_10,2026-04-24 23:48:12.311,2026-04-24 23:49:52.311,1.666666666666714,146.25 deg,-66.62337662337663 deg,{},0
28_10,2026-04-24 23:49:52.311,2026-04-24 23:51:32.311,1.666666666666714,157.5 deg,-66.62337662337663 deg,{},0
30_10,2026-04-24 23:51:32.311,2026-04-24 23:53:12.311,1.666666666666714,168.75 deg,-66.62337662337663 deg,{},0
32_10,2026-04-24 23:53:12.311,2026-04-24 23:54:52.311,1.666666666666714,180.0 deg,-66.62337662337663 deg,{},0
34_10,2026-04-24 23:54:52.311,2026-04-24 23:56:32.311,1.666666666666714,191.25 deg,-66.62337662337663 deg,{},0
36_10,2026-04-24 23:56:32.311,2026-04-24 23:58:12.311,1.666666666666714,202.5 deg,-66.62337662337663 deg,{},0
38_10,2026-04-24 23:58:12.311,2026-04-24 23:59:52.311,1.666666666666874,213.75 deg,-66.62337662337663 deg,{},0
Unused Time,2026-04-24 23:59:52.311,2026-04-25 00:04:52.311,4.999999999999343,,,,0
13_11,2026-04-25 00:04:52.311,2026-04-25 00:06:32.311,1.666666666666634,66.85714285714286 deg,-64.28571428571429 deg,{},1
11_9,2026-04-25 00:06:32.311,2026-04-25 00:08:12.311,1.666666666666634,68.27586206896552 deg,-68.96103896103897 deg,{},1
TransitionBlock,2026-04-25 00:08:12.311,2026-04-25 00:08:13.483,0.019532915872435552,,,[],1
15_13,2026-04-25 00:08:13.483,2026-04-25 00:09:53.483,1.666666666666634,66.66666666666666 deg,-59.6103896103896 deg,{},1
15_11,2026-04-25 00:09:53.483,2026-04-25 00:11:33.483,1.666666666666634,77.14285714285714 deg,-64.28571428571429 deg,{},1
13_9,2026-04-25 00:11:33.483,2026-04-25 00:13:13.483,1.666666666666634,80.68965517241381 deg,-68.96103896103897 deg,{},1
TransitionBlock,2026-04-25 00:13:13.483,2026-04-25 00:13:14.683,0.020008683385741577,,,[],1
17_13,2026-04-25 00:13:14.683,2026-04-25 00:14:54.683,1.666666666666634,75.55555555555556 deg,-59.6103896103896 deg,{},1
17_11,2026-04-25 00:14:54.683,2026-04-25 00:16:34.683,1.666666666666634,87.42857142857143 deg,-64.28571428571429 deg,{},1
15_9,2026-04-25 00:16:34.683,2026-04-25 00:18:14.683,1.666666666666634,93.10344827586206 deg,-68.96103896103897 deg,{},1
TransitionBlock,2026-04-25 00:18:14.683,2026-04-25 00:18:15.940,0.02094672237582529,,,[],1
19_13,2026-04-25 00:18:15.940,2026-04-25 00:19:55.940,1.666666666666634,84.44444444444444 deg,-59.6103896103896 deg,{},1
19_15,2026-04-25 00:19:55.940,2026-04-25 00:21:35.940,1.666666666666634,75.16483516483517 deg,-54.935064935064936 deg,{},1
TransitionBlock,2026-04-25 00:21:35.940,2026-04-25 00:21:37.767,0.030442220381470264,,,[],1
19_11,2026-04-25 00:21:37.767,2026-04-25 00:23:17.767,1.666666666666634,97.71428571428572 deg,-64.28571428571429 deg,{},1
TransitionBlock,2026-04-25 00:23:17.767,2026-04-25 00:23:19.250,0.02472618806296012,,,[],1
21_15,2026-04-25 00:23:19.250,2026-04-25 00:24:59.250,1.666666666666634,83.07692307692307 deg,-54.935064935064936 deg,{},1
21_13,2026-04-25 00:24:59.250,2026-04-25 00:26:39.250,1.666666666666634,93.33333333333331 deg,-59.6103896103896 deg,{},1
Unused Time,2026-04-25 00:26:39.250,2026-04-25 00:34:52.311,8.217676603255297,,,,1
16_12,2026-04-25 00:34:52.311,2026-04-25 00:36:32.311,1.666666666666634,76.8 deg,-61.94805194805195 deg,{},2
18_14,2026-04-25 00:36:32.311,2026-04-25 00:38:12.311,1.666666666666634,75.34883720930233 deg,-57.27272727272727 deg,{},2
18_12,2026-04-25 00:38:12.311,2026-04-25 00:39:52.311,1.666666666666634,86.39999999999999 deg,-61.94805194805195 deg,{},2
20_14,2026-04-25 00:39:52.311,2026-04-25 00:41:32.311,1.666666666666634,83.72093023255815 deg,-57.27272727272727 deg,{},2
20_12,2026-04-25 00:41:32.311,2026-04-25 00:43:12.311,1.666666666666634,96.0 deg,-61.94805194805195 deg,{},2
22_14,2026-04-25 00:43:12.311,2026-04-25 00:44:52.311,1.666666666666714,92.09302325581396 deg,-57.27272727272727 deg,{},2
22_16,2026-04-25 00:44:52.311,2026-04-25 00:46:32.311,1.666666666666714,82.5 deg,-52.5974025974026 deg,{},2
24_16,2026-04-25 00:46:32.311,2026-04-25 00:48:12.311,1.666666666666714,90.0 deg,-52.5974025974026 deg,{},2
TransitionBlock,2026-04-25 00:48:12.311,2026-04-25 00:48:13.877,0.026100551799697058,,,[],2
22_12,2026-04-25 00:48:13.877,2026-04-25 00:49:53.877,1.666666666666714,105.6 deg,-61.94805194805195 deg,{},2
24_14,2026-04-25 00:49:53.877,2026-04-25 00:51:33.877,1.666666666666714,100.46511627906976 deg,-57.27272727272727 deg,{},2
TransitionBlock,2026-04-25 00:51:33.877,2026-04-25 00:51:35.675,0.029979204201673326,,,[],2
