target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,block_number,ra_hr
30_14,2026-06-07 23:16:01.964,2026-06-07 23:17:41.964,1.6666666666665542,125.58139534883723,-57.27272727272727,{'dither': False},0,8.372093023255816
32_14,2026-06-07 23:17:41.964,2026-06-07 23:19:21.964,1.666666666666714,133.95348837209303,-57.27272727272727,{'dither': False},0,8.930232558139537
34_14,2026-06-07 23:19:21.964,2026-06-07 23:21:01.964,1.666666666666714,142.32558139534882,-57.27272727272727,{'dither': False},0,9.488372093023257
36_14,2026-06-07 23:21:01.964,2026-06-07 23:22:41.964,1.666666666666714,150.69767441860466,-57.27272727272727,{'dither': False},0,10.046511627906979
38_14,2026-06-07 23:22:41.964,2026-06-07 23:24:21.964,1.666666666666714,159.06976744186048,-57.27272727272727,{'dither': False},0,10.6046511627907
48_14,2026-06-07 23:24:21.964,2026-06-07 23:26:01.964,1.666666666666714,200.93023255813952,-57.27272727272727,{'dither': False},0,13.395348837209305
50_14,2026-06-07 23:26:01.964,2026-06-07 23:27:41.964,1.666666666666714,209.30232558139537,-57.27272727272727,{'dither': False},0,13.953488372093027
52_14,2026-06-07 23:27:41.964,2026-06-07 23:29:21.964,1.666666666666714,217.67441860465115,-57.27272727272727,{'dither': False},0,14.511627906976747
54_14,2026-06-07 23:29:21.964,2026-06-07 23:31:01.964,1.666666666666714,226.046511627907,-57.27272727272727,{'dither': False},0,15.069767441860469
56_14,2026-06-07 23:31:01.964,2026-06-07 23:32:41.964,1.666666666666714,234.4186046511628,-57.27272727272727,{'dither': False},0,15.62790697674419
64_16,2026-06-07 23:32:41.964,2026-06-07 23:34:21.964,1.666666666666714,239.99999999999997,-52.5974025974026,{'dither': False},0,16.0
62_16,2026-06-07 23:34:21.964,2026-06-07 23:36:01.964,1.666666666666714,232.5,-52.5974025974026,{'dither': False},0,15.500000000000004
60_16,2026-06-07 23:36:01.964,2026-06-07 23:37:41.964,1.666666666666714,224.99999999999997,-52.5974025974026,{'dither': False},0,15.000000000000002
36_16,2026-06-07 23:37:41.964,2026-06-07 23:39:21.964,1.666666666666714,135.0,-52.5974025974026,{'dither': False},0,9.000000000000002
58_14,2026-06-07 23:39:21.964,2026-06-07 23:41:01.964,1.666666666666714,242.7906976744186,-57.27272727272727,{'dither': False},0,16.18604651162791
34_16,2026-06-07 23:41:01.964,2026-06-07 23:42:41.964,1.666666666666714,127.5,-52.5974025974026,{'dither': False},0,8.500000000000002
36_18,2026-06-07 23:42:41.964,2026-06-07 23:44:21.964,1.666666666666714,123.42857142857144,-47.922077922077925,{'dither': False},0,8.228571428571431
70_18,2026-06-07 23:44:21.964,2026-06-07 23:46:01.964,1.6666666666660745,240.00000000000003,-47.922077922077925,{'dither': False},0,16.000000000000004
30_14_dither,2026-06-07 23:46:01.964,2026-06-07 23:47:41.964,1.666666666666714,123.10554395994836,-57.27272727272727,{'dither': True},1,8.207036263996558
32_14_dither,2026-06-07 23:47:41.964,2026-06-07 23:49:21.964,1.666666666666714,131.47763698320415,-57.27272727272727,{'dither': True},1,8.765175798880279
34_14_dither,2026-06-07 23:49:21.964,2026-06-07 23:51:01.964,1.666666666666714,139.84973000645994,-57.27272727272727,{'dither': True},1,9.323315333763997
36_14_dither,2026-06-07 23:51:01.964,2026-06-07 23:52:41.964,1.666666666666714,148.22182302971578,-57.27272727272727,{'dither': True},1,9.88145486864772
38_14_dither,2026-06-07 23:52:41.964,2026-06-07 23:54:21.964,1.666666666666714,156.5939160529716,-57.27272727272727,{'dither': True},1,10.43959440353144
48_14_dither,2026-06-07 23:54:21.964,2026-06-07 23:56:01.964,1.666666666666714,198.45438116925064,-57.27272727272727,{'dither': True},1,13.230292077950045
50_14_dither,2026-06-07 23:56:01.964,2026-06-07 23:57:41.964,1.666666666666714,206.82647419250648,-57.27272727272727,{'dither': True},1,13.788431612833769
52_14_dither,2026-06-07 23:57:41.964,2026-06-07 23:59:21.964,1.666666666666714,215.19856721576227,-57.27272727272727,{'dither': True},1,14.346571147717487
54_14_dither,2026-06-07 23:59:21.964,2026-06-08 00:01:01.964,1.666666666666714,223.5706602390181,-57.27272727272727,{'dither': True},1,14.90471068260121
56_14_dither,2026-06-08 00:01:01.964,2026-06-08 00:02:41.964,1.666666666666634,231.94275326227392,-57.27272727272727,{'dither': True},1,15.462850217484931
58_14_dither,2026-06-08 00:02:41.964,2026-06-08 00:04:21.964,1.666666666666634,240.3148462855297,-57.27272727272727,{'dither': True},1,16.02098975236865
64_16_dither,2026-06-08 00:04:21.964,2026-06-08 00:06:01.964,1.666666666666634,237.5241486111111,-52.5974025974026,{'dither': True},1,15.834943240740742
62_16_dither,2026-06-08 00:06:01.964,2026-06-08 00:07:41.964,1.666666666666634,230.02414861111112,-52.5974025974026,{'dither': True},1,15.334943240740744
60_16_dither,2026-06-08 00:07:41.964,2026-06-08 00:09:21.964,1.666666666666634,222.5241486111111,-52.5974025974026,{'dither': True},1,14.834943240740742
36_16_dither,2026-06-08 00:09:21.964,2026-06-08 00:11:01.964,1.666666666666634,132.52414861111112,-52.5974025974026,{'dither': True},1,8.834943240740742
70_18_dither,2026-06-08 00:11:01.964,2026-06-08 00:12:41.964,1.666666666666634,237.52414861111112,-47.922077922077925,{'dither': True},1,15.834943240740744
Unused Time,2026-06-08 00:12:41.964,2026-06-08 00:16:01.964,3.3333333333330284,,,,1,
40_14,2026-06-08 00:16:01.964,2026-06-08 00:17:41.964,1.666666666666634,167.4418604651163,-57.27272727272727,{'dither': False},2,11.162790697674422
44_16,2026-06-08 00:17:41.964,2026-06-08 00:19:21.964,1.666666666666634,165.0,-52.5974025974026,{'dither': False},2,11.000000000000002
42_16,2026-06-08 00:19:21.964,2026-06-08 00:21:01.964,1.666666666666634,157.5,-52.5974025974026,{'dither': False},2,10.500000000000002
40_16,2026-06-08 00:21:01.964,2026-06-08 00:22:41.964,1.666666666666634,149.99999999999997,-52.5974025974026,{'dither': False},2,10.0
38_16,2026-06-08 00:22:41.964,2026-06-08 00:24:21.964,1.666666666666634,142.5,-52.5974025974026,{'dither': False},2,9.500000000000002
40_18,2026-06-08 00:24:21.964,2026-06-08 00:26:01.964,1.666666666666634,137.14285714285714,-47.922077922077925,{'dither': False},2,9.142857142857144
42_18,2026-06-08 00:26:01.964,2026-06-08 00:27:41.964,1.666666666666634,144.0,-47.922077922077925,{'dither': False},2,9.600000000000001
44_18,2026-06-08 00:27:41.964,2026-06-08 00:29:21.964,1.666666666666634,150.85714285714286,-47.922077922077925,{'dither': False},2,10.057142857142859
46_18,2026-06-08 00:29:21.964,2026-06-08 00:31:01.964,1.666666666666634,157.71428571428572,-47.922077922077925,{'dither': False},2,10.514285714285716
48_18,2026-06-08 00:31:01.964,2026-06-08 00:32:41.964,1.666666666666634,164.57142857142858,-47.922077922077925,{'dither': False},2,10.971428571428575
50_20,2026-06-08 00:32:41.964,2026-06-08 00:34:21.964,1.666666666666634,157.89473684210526,-43.24675324675325,{'dither': False},2,10.526315789473687
48_20,2026-06-08 00:34:21.964,2026-06-08 00:36:01.964,1.666666666666634,151.57894736842104,-43.24675324675325,{'dither': False},2,10.105263157894738
46_20,2026-06-08 00:36:01.964,2026-06-08 00:37:41.964,1.666666666666634,145.26315789473685,-43.24675324675325,{'dither': False},2,9.684210526315791
44_20,2026-06-08 00:37:41.964,2026-06-08 00:39:21.964,1.666666666666634,138.94736842105263,-43.24675324675325,{'dither': False},2,9.263157894736844
48_22,2026-06-08 00:39:21.964,2026-06-08 00:41:01.964,1.666666666666634,141.63934426229508,-38.57142857142857,{'dither': False},2,9.442622950819674
50_22,2026-06-08 00:41:01.964,2026-06-08 00:42:41.964,1.666666666666634,147.54098360655738,-38.57142857142857,{'dither': False},2,9.836065573770494
52_22,2026-06-08 00:42:41.964,2026-06-08 00:44:21.964,1.666666666666634,153.44262295081967,-38.57142857142857,{'dither': False},2,10.229508196721314
50_24,2026-06-08 00:44:21.964,2026-06-08 00:46:01.964,1.6666666666672736,139.53488372093022,-33.896103896103895,{'dither': False},2,9.30232558139535
40_14_dither,2026-06-08 00:46:01.964,2026-06-08 00:47:41.964,1.666666666666714,164.9660090762274,-57.27272727272727,{'dither': True},3,10.997733938415163
44_16_dither,2026-06-08 00:47:41.964,2026-06-08 00:49:21.964,1.666666666666714,162.52414861111112,-52.5974025974026,{'dither': True},3,10.834943240740744
42_16_dither,2026-06-08 00:49:21.964,2026-06-08 00:51:01.964,1.666666666666714,155.02414861111112,-52.5974025974026,{'dither': True},3,10.334943240740744
40_16_dither,2026-06-08 00:51:01.964,2026-06-08 00:52:41.964,1.666666666666714,147.5241486111111,-52.5974025974026,{'dither': True},3,9.83494324074074
38_16_dither,2026-06-08 00:52:41.964,2026-06-08 00:54:21.964,1.666666666666714,140.02414861111112,-52.5974025974026,{'dither': True},3,9.334943240740742
42_18_dither,2026-06-08 00:54:21.964,2026-06-08 00:56:01.964,1.666666666666714,141.52414861111112,-47.922077922077925,{'dither': True},3,9.434943240740743
44_18_dither,2026-06-08 00:56:01.964,2026-06-08 00:57:41.964,1.666666666666714,148.38129146825398,-47.922077922077925,{'dither': True},3,9.8920860978836
46_18_dither,2026-06-08 00:57:41.964,2026-06-08 00:59:21.964,1.666666666666714,155.23843432539684,-47.922077922077925,{'dither': True},3,10.349228955026458
48_18_dither,2026-06-08 00:59:21.964,2026-06-08 01:01:01.964,1.666666666666714,162.0955771825397,-47.922077922077925,{'dither': True},3,10.806371812169315
50_20_dither,2026-06-08 01:01:01.964,2026-06-08 01:02:41.964,1.666666666666714,155.41888545321638,-43.24675324675325,{'dither': True},3,10.361259030214427
