target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,start_time_mjd,block_number,ra_hr
98_26,2026-07-18 23:27:18.123,2026-07-18 23:28:58.123,1.6666666666665542,259.4117647058824,-29.220779220779225,{'dither': False},61239.977293090276,0,17.29411764705883
100_26,2026-07-18 23:28:58.123,2026-07-18 23:30:38.123,1.666666666666714,264.7058823529412,-29.220779220779225,{'dither': False},61239.978450497685,0,17.647058823529417
102_26,2026-07-18 23:30:38.123,2026-07-18 23:32:18.123,1.666666666666714,270.0,-29.220779220779225,{'dither': False},61239.979607905094,0,18.000000000000004
104_26,2026-07-18 23:32:18.123,2026-07-18 23:33:58.123,1.666666666666714,275.2941176470588,-29.220779220779225,{'dither': False},61239.9807653125,0,18.35294117647059
108_28,2026-07-18 23:33:58.123,2026-07-18 23:35:38.123,1.666666666666714,275.74468085106383,-24.545454545454543,{'dither': False},61239.981922719904,0,18.38297872340426
106_28,2026-07-18 23:35:38.123,2026-07-18 23:37:18.123,1.666666666666714,270.63829787234044,-24.545454545454543,{'dither': False},61239.98308012731,0,18.042553191489368
104_28,2026-07-18 23:37:18.123,2026-07-18 23:38:58.123,1.666666666666714,265.531914893617,-24.545454545454543,{'dither': False},61239.98423753472,0,17.70212765957447
102_28,2026-07-18 23:38:58.123,2026-07-18 23:40:38.123,1.666666666666714,260.4255319148936,-24.545454545454543,{'dither': False},61239.98539494213,0,17.361702127659576
108_30,2026-07-18 23:40:38.123,2026-07-18 23:42:18.123,1.666666666666714,266.3013698630137,-19.870129870129876,{'dither': False},61239.98655234954,0,17.75342465753425
106_26,2026-07-18 23:42:18.123,2026-07-18 23:43:58.123,1.666666666666714,280.5882352941177,-29.220779220779225,{'dither': False},61239.98770975695,0,18.70588235294118
110_30,2026-07-18 23:43:58.123,2026-07-18 23:45:38.123,1.666666666666714,271.2328767123288,-19.870129870129876,{'dither': False},61239.98886716435,0,18.082191780821923
112_30,2026-07-18 23:45:38.123,2026-07-18 23:47:18.123,1.666666666666714,276.16438356164383,-19.870129870129876,{'dither': False},61239.99002457176,0,18.41095890410959
114_32,2026-07-18 23:47:18.123,2026-07-18 23:48:58.123,1.666666666666714,275.43624161073825,-15.194805194805197,{'dither': False},61239.99118197917,0,18.362416107382554
112_32,2026-07-18 23:48:58.123,2026-07-18 23:50:38.123,1.666666666666714,270.6040268456376,-15.194805194805197,{'dither': False},61239.992339386576,0,18.04026845637584
110_28,2026-07-18 23:50:38.123,2026-07-18 23:52:18.123,1.666666666666714,280.8510638297872,-24.545454545454543,{'dither': False},61239.993496793984,0,18.723404255319153
114_34,2026-07-18 23:52:18.123,2026-07-18 23:53:58.123,1.666666666666714,270.0,-10.519480519480515,{'dither': False},61239.994654201386,0,18.000000000000004
116_34,2026-07-18 23:53:58.123,2026-07-18 23:55:38.123,1.666666666666714,274.7368421052632,-10.519480519480515,{'dither': False},61239.995811608795,0,18.315789473684216
Unused Time,2026-07-18 23:55:38.123,2026-07-18 23:57:18.123,1.6666666666660745,,,,61239.9969690162,0,
98_26_dither,2026-07-18 23:57:18.123,2026-07-18 23:58:58.123,1.666666666666714,256.9359133169935,-29.220779220779225,{'dither': True},61239.99812642361,1,17.129060887799568
100_26_dither,2026-07-18 23:58:58.123,2026-07-19 00:00:38.123,1.666666666666714,262.23003096405233,-29.220779220779225,{'dither': True},61239.99928383102,1,17.48200206427016
102_26_dither,2026-07-19 00:00:38.123,2026-07-19 00:02:18.123,1.666666666666634,267.5241486111111,-29.220779220779225,{'dither': True},61240.00044123842,1,17.834943240740746
104_26_dither,2026-07-19 00:02:18.123,2026-07-19 00:03:58.123,1.666666666666634,272.8182662581699,-29.220779220779225,{'dither': True},61240.00159864583,1,18.18788441721133
106_26_dither,2026-07-19 00:03:58.123,2026-07-19 00:05:38.123,1.666666666666634,278.1123839052288,-29.220779220779225,{'dither': True},61240.00275605324,1,18.540825593681923
110_28_dither,2026-07-19 00:05:38.123,2026-07-19 00:07:18.123,1.666666666666634,278.37521244089834,-24.545454545454543,{'dither': True},61240.00391346065,1,18.55834749605989
108_28_dither,2026-07-19 00:07:18.123,2026-07-19 00:08:58.123,1.666666666666634,273.26882946217495,-24.545454545454543,{'dither': True},61240.00507086806,1,18.217921964145
106_28_dither,2026-07-19 00:08:58.123,2026-07-19 00:10:38.123,1.666666666666634,268.16244648345156,-24.545454545454543,{'dither': True},61240.006228275466,1,17.877496432230107
104_28_dither,2026-07-19 00:10:38.123,2026-07-19 00:12:18.123,1.666666666666634,263.0560635047281,-24.545454545454543,{'dither': True},61240.00738568287,1,17.53707090031521
102_28_dither,2026-07-19 00:12:18.123,2026-07-19 00:13:58.123,1.666666666666634,257.9496805260047,-24.545454545454543,{'dither': True},61240.008543090276,1,17.19664536840032
108_30_dither,2026-07-19 00:13:58.123,2026-07-19 00:15:38.123,1.666666666666634,263.8255184741248,-19.870129870129876,{'dither': True},61240.009700497685,1,17.588367898274992
110_30_dither,2026-07-19 00:15:38.123,2026-07-19 00:17:18.123,1.666666666666634,268.7570253234399,-19.870129870129876,{'dither': True},61240.010857905094,1,17.917135021562665
